question_ko,intent
그 저 저 어떤 내용이야 말해줘 설명해줘,artwork_overview
저거 이 무슨 시대에 만들어졌어 알려줄래,date_query
혹시 저 이 작품 소재 알려줘 설명해줘,metadata_query
그 이 이 작품은 소개해줘요,artwork_overview
저거 자세히 이 작품은 기법적 특징 설명해줘,style_context
혹시 그 조금 이 유사 작품 있어 알려줘,related_works
혹시 저기 잘 이해 못했어 알려줘,fallback
혹시 작가 설명해줘,artist_info
음 혹시 조금 이 비슷한 작품 추천해줘 말해줘,related_works
음 저 몇 년도만 알려줄래요?,metadata_query
저 관련 작품 더 보여줘 말해줘,related_works
혹시 일단 이거 관련 작품 더 보여줘 궁금해?,related_works
혹시 여기 이거 비슷한 작품 추천해줘요 설명해줘,related_works
일단 이 어떤 재료 사용했어 말해줘 말해줘,medium_query
이 좀 이 어떤 내용이야 알려줄래,artwork_overview
일단 이 작품은 어떤 재료 사용했어 말해줘 알려줘,medium_query
음 살짝 작가에 대해 말해줘요 설명해줘,artist_info
그 일단 조금 작가 설명해줘,artist_info
작품명만 알려줄래,metadata_query
저거 좀 이 작품은 개요 좀?,artwork_overview
이 자세히 저 대략적으로 어떤 작품인지?,artwork_overview
이 작품은 비슷한 작품 추천해줘요,related_works
그 조금 이건 배경 설명해줘요?,style_context
이거 언제 만들어졌어요,date_query
이 자세히 그린 사람에 대해 알려줘요,artist_info
저거 조금 더 구체적으로 말해줘,fallback
혹시 저 살짝 이건 번호 뭐야 알려줄래 알려줘,metadata_query
혹시 저기 그린 사람 어떤 사람이야 말해줘 알려줘,artist_info
그 저기 조금 이건 언제 만들어졌어 말해줘,date_query
그 이 작가 설명해줘 말해줘,artist_info
그 일단 좀 만든 사람 어떤 사람이야 알려줄래 말해줘,artist_info
여기 이 작품 양식적으로 어떤 특징 있어?,style_context
그 저기 자세히 저 재료가 뭐야 가르쳐줘?,medium_query
혹시 저 좀 이 작품 대략적으로 어떤 작품인지 가르쳐줘?,artwork_overview
혹시 이거 식별자 말해줘 설명해줘,metadata_query
저기 이거 화풍 설명해줘,style_context
혹시 일단 이 작품 사조 설명해줘 설명해줘,style_context
일단 여기 이건 유사 작품 있어 가르쳐줘 말해줘,related_works
혹시 일단 조금 더 구체적으로 말해줘요,fallback
일단 저거 이건 비슷한 작품 추천해줘요,related_works
일단 좀 이거 제작 연도 말해줘 설명해줘,date_query
그 저 이 작품 재료가 뭐야 궁금해 설명해줘,medium_query
음 조금 이 기법적 특징 설명해줘?,style_context
저거 자세히 이 작품은 기법적 특징 설명해줘 설명해줘,style_context
그 그 이 작품 사조 설명해줘요 설명해줘,style_context
그 이 작품 유사 작품 있어 궁금해,related_works
혹시 좀 이 작품 스타일이 어떤 느낌이야 가르쳐줘 말해줘,style_context
음 그 살짝 작가 설명해줘요 알려줘,artist_info
음 저 자세히 이 작품은 어떤 내용이야 가르쳐줘,artwork_overview
일단 이 더 설명해줘요,fallback
음 이 자세히 이 작품 스타일이 어떤 느낌이야 알려줄래 설명해줘,style_context
그 이 개요 좀 가르쳐줘 알려줘,artwork_overview
음 만든 사람에 대해 알려줘,artist_info
음 혹시 이건 비슷한 작품 추천해줘 말해줘,related_works
이 좀 이 작품은 소재 알려줘,medium_query
이 자세히 작가 설명해줘,artist_info
그 저 이거 전반적으로 궁금해 설명해줘,artwork_overview
저거 이거 언제 만들어졌어 설명해줘,date_query
일단 이 작품은 비슷한 작품 추천해줘요 알려줘,related_works
이 이 작품 재료 알려줘 알려줘,medium_query
일단 이 작가 설명해줘 알려줘,artist_info
일단 이 작품에 대해 말해줘 가르쳐줘 설명해줘,artwork_overview
혹시 자세히 저 년도 알려줘 말해줘 알려줘,date_query
이건 재료가 뭐야 말해줘,medium_query
혹시 저거 더 설명해줘?,fallback
그 여기 좀 이건 재료 알려줘,medium_query
일단 저기 소재만 알려줄래 말해줘,metadata_query
그 이 자세히 작가 설명해줘 알려줘,artist_info
혹시 여기 조금 이 작품 무슨 시대에 만들어졌어 가르쳐줘 말해줘,date_query
일단 그 자세히 이 작품명 뭐야 알려줘,metadata_query
그 이 사조 설명해줘 설명해줘,style_context
혹시 일단 살짝 저 대략적으로 어떤 작품인지 가르쳐줘,artwork_overview
음 여기 좀 이 재료 뭐야 가르쳐줘 말해줘,metadata_query
여기 자세히 이건 질감 알려줘,medium_query
음 저 좀 저 무슨 시대에 만들어졌어?,date_query
혹시 저거 번호만 알려줄래요 알려줘,metadata_query
저거 작가 배경 설명해줘?,artist_info
일단 살짝 이 어떤 재료 사용했어 말해줘,medium_query
여기 조금 더 구체적으로 말해줘,fallback
혹시 잘 이해 못했어요,fallback
일단 여기 자세히 이건 질감 알려줘 설명해줘,medium_query
저기 이거 비슷한 작품 추천해줘요,related_works
일단 그 살짝 이건 사조 설명해줘요,style_context
일단 제작 연도만 알려줄래요,metadata_query
음 저거 이 미술적 특징 설명해줘요,style_context
음 여기 자세히 예술가에 대해 알려줘요 알려줘,artist_info
음 이건 유사 작품 있어 궁금해,related_works
그 혹시 좀 작가 설명해줘요 알려줘,artist_info
여기 이 재질 뭐야 가르쳐줘,metadata_query
여기 이 작품 관련 작품 더 보여줘 궁금해 말해줘,related_works
혹시 혹시 이거 대략적으로 어떤 작품인지 가르쳐줘 설명해줘,artwork_overview
그 이 작품은 몇 년도 뭐야 가르쳐줘,metadata_query
저기 조금 저 몇 년도 작품이야?,date_query
그 저거 잘 이해 못했어 설명해줘,fallback
이 잘 이해 못했어요 알려줘,fallback
음 여기 이 전체적으로 어떤 작품인지 가르쳐줘,artwork_overview
저거 이건 화풍 설명해줘,style_context
음 일단 좀 만든 사람 어떤 사람이야 알려줄래 알려줘,artist_info
음 여기 이건 제작 연도 알려줘 말해줘 알려줘,date_query
조금 이건 전반적으로 말해줘 설명해줘,artwork_overview
그린 사람에 대해 알려줘요,artist_info
음 그 이 작품은 미술적 특징 설명해줘요 설명해줘,style_context
그 살짝 이건 식별자 알려줘,metadata_query
그 저기 그린 사람 어떤 사람이야 궁금해,artist_info
일단 저거 좀 이 작품은 대략적으로 어떤 작품인지 알려줄래 알려줘,artwork_overview
혹시 이 좀 작가 배경 설명해줘요 설명해줘,artist_info
저거 이거 작품에 대해 말해줘 말해줘 알려줘,artwork_overview
혹시 조금 저 관련 작품 더 보여줘 말해줘,related_works
이 작품은 어떤 재료 사용했어 말해줘,medium_query
그 조금 더 구체적으로 말해줘요,fallback
혹시 그 이거 재료 알려줘요 말해줘,medium_query
여기 좀 저 비슷한 작품 추천해줘,related_works
음 그 이건 어떤 재료 사용했어 말해줘 설명해줘,medium_query
여기 이거 시기 알려줘 가르쳐줘 말해줘,date_query
일단 저기 더 설명해줘요 말해줘,fallback
저기 조금 이 제작 연도 알려줘 알려줘,date_query
그 더 설명해줘요 설명해줘,fallback
그 이건 몇 년도 작품이야 가르쳐줘 설명해줘,date_query
일단 이거 스타일이 어떤 느낌이야?,style_context
그 자세히 이거 사조 설명해줘 설명해줘,style_context
그 살짝 저 화풍 설명해줘 알려줘,style_context
음 혹시 이 작품 제작 연도 알려줘 가르쳐줘 설명해줘,date_query
혹시 저 이 작품은 재료 말해줘요 말해줘,medium_query
그 이 살짝 작품명만 알려줄래?,metadata_query
일단 이 좀 이 작품은 소재 알려줘요 말해줘,metadata_query
저기 더 설명해줘,fallback
혹시 이 배경 설명해줘?,style_context
혹시 저거 살짝 이거 몇 년도 작품이야 말해줘 말해줘,date_query
이건 관련 작품 더 보여줘 말해줘 알려줘,related_works
음 혹시 이거 미술적 특징 설명해줘요?,style_context
음 일단 살짝 만든 사람에 대해 알려줘 알려줘,artist_info
그 이건 제작 연도 알려줘 알려줘,date_query
저 이건 언제 알려줘,metadata_query
일단 자세히 저 기법적 특징 설명해줘,style_context
혹시 저거 이 작품은 몇 년도 작품이야 알려줄래,date_query
저 이 배경 설명해줘요?,style_context
그 저기 조금 이건 유사 작품 있어 가르쳐줘 설명해줘,related_works
조금 이 작품 제작 연도 알려줘 가르쳐줘 말해줘,date_query
다시 말해줄래요,fallback
혹시 이 이 작품 어떤 재료 사용했어 알려줄래,medium_query
음 조금 그린 사람 어떤 사람이야 궁금해 설명해줘,artist_info
혹시 이 작품은 년도 알려줘 궁금해,date_query
여기 이 기법적 특징 설명해줘요 알려줘,style_context
혹시 혹시 이 작품은 언제 만들어졌어요 말해줘,date_query
저 조금 더 구체적으로 말해줘요,fallback
혹시 이거 비슷한 작품 추천해줘 설명해줘,related_works
그 살짝 작가 설명해줘요,artist_info
일단 이거 만든 사람가 누군지 가르쳐줘 말해줘,artist_info
혹시 일단 조금 이 작품 관련 작품 더 보여줘 알려줘 말해줘,related_works
혹시 여기 조금 그린 사람 어떤 사람이야 말해줘 말해줘,artist_info
저기 조금 이거 무슨 시대에 만들어졌어 알려줄래,date_query
그 일단 다시 말해줄래?,fallback
이 다시 말해줄래요,fallback
혹시 살짝 이 대략적으로 어떤 작품인지 알려줄래,artwork_overview
일단 혹시 이 작품 컬렉션 말해줘?,metadata_query
이 어떤 내용이야 알려줘 설명해줘,artwork_overview
그 좀 이 작품은 재료 뭐야 알려줘,metadata_query
이 만든 사람 어떤 사람이야 궁금해,artist_info
일단 이 작품 무슨 시대에 만들어졌어?,date_query
음 저거 이거 작품에 대해 알려줘 알려줘,artwork_overview
이 그린 사람 어떤 사람이야?,artist_info
일단 이 작품은 관련 작품 더 보여줘 궁금해?,related_works
혹시 저거 자세히 그린 사람 어떤 사람이야 말해줘?,artist_info
혹시 이 살짝 만든 사람 어떤 사람이야,artist_info
일단 조금 이 작품은 전체적으로 어떤 작품인지 가르쳐줘 알려줘,artwork_overview
저 비슷한 작품 추천해줘요,related_works
혹시 저 미술적 특징 설명해줘요 말해줘,style_context
음 혹시 저 질감 알려줘요?,medium_query
그 자세히 저 언제 만들어졌어,date_query
일단 이 자세히 그린 사람에 대해 가르쳐줘요 말해줘,artist_info
일단 이 살짝 만든 사람 어떤 사람이야,artist_info
일단 조금 이거 양식적으로 어떤 특징 있어 궁금해 말해줘,style_context
음 저 저 작품에 대해 알려줘 가르쳐줘?,artwork_overview
음 저 자세히 작가 배경 설명해줘 알려줘,artist_info
일단 조금 이 작품 유사 작품 있어 알려줘,related_works
일단 이 비슷한 작품 추천해줘요 말해줘,related_works
살짝 작가 설명해줘요,artist_info
다시 말해줄래,fallback
일단 이건 유사 작품 있어 궁금해?,related_works
일단 저 좀 만든 사람에 대해 알려줘요 알려줘,artist_info
음 혹시 다시 말해줄래요?,fallback
이 자세히 이 작품 스타일이 어떤 느낌이야 알려줄래,style_context
음 저기 이 작품은 번호 알려줘요 말해줘,metadata_query
저 다시 말해줄래요,fallback
좀 이건 언제 뭐야 알려줘,metadata_query
음 저기 조금 이건 몇 년도 알려줘요,metadata_query
일단 저기 조금 저 몇 년도 작품이야 설명해줘,date_query
일단 혹시 살짝 만든 사람 어떤 사람이야 말해줘 알려줘,artist_info
이 저 몇 년도 작품이야 말해줘 알려줘,date_query
혹시 여기 좀 이 질감 알려줘요 알려줘,medium_query
일단 살짝 저 대략적으로 어떤 작품인지 가르쳐줘,artwork_overview
이 작품은 전반적으로 알려줘,artwork_overview
저거 살짝 저 미술적 특징 설명해줘요,style_context
그 혹시 살짝 이 질감 말해줘?,medium_query
음 저거 다시 말해줄래요 알려줘,fallback
저 조금 이건 양식적으로 어떤 특징 있어 궁금해,style_context
저기 좀 이 작품은 소재 알려줘요,medium_query
자세히 이 작품은 비슷한 작품 추천해줘요,related_works
그 이 살짝 만든 사람 어떤 사람이야 말해줘,artist_info
저 좀 이거 무슨 시대에 만들어졌어 알려줘,date_query
조금 이 기법적 특징 설명해줘 알려줘,style_context
음 이 작품 관련 작품 더 보여줘 말해줘 알려줘,related_works
그 저 미술적 특징 설명해줘,style_context
그 저기 작가 배경 설명해줘요 말해줘,artist_info
음 이거 개요 좀 알려줘?,artwork_overview
그 일단 살짝 이 작품은 언제 만들어졌어요?,date_query
음 그 이 작품은 어떤 재료 사용했어 알려줄래 알려줘,medium_query
혹시 혹시 자세히 이 작품은 무슨 시대에 만들어졌어 말해줘,date_query
그 저 이거 관련 작품 더 보여줘 말해줘,related_works
저거 살짝 그린 사람 어떤 사람이야 알려줘?,artist_info
일단 일단 이 작품 재질 알려줘요?,metadata_query
저거 좀 그린 사람 어떤 사람이야 알려줘,artist_info
음 혹시 자세히 이거 재료가 뭐야 가르쳐줘 알려줘,medium_query
일단 조금 번호만 알려줄래 말해줘,metadata_query
여기 다시 말해줄래,fallback
그 저 이 언제 만들어졌어요 말해줘,date_query
이건 대략적으로 어떤 작품인지?,artwork_overview
저 몇 년도만 알려줄래요,metadata_query
일단 저거 이거 질감 말해줘요 말해줘,medium_query
일단 이거 양식적으로 어떤 특징 있어 가르쳐줘?,style_context
그 더 설명해줘요,fallback
일단 이 몇 년도 작품이야 궁금해,date_query
음 혹시 다시 말해줄래요 말해줘,fallback
음 저 이 작품은 소재 알려줘 설명해줘,medium_query
일단 그린 사람에 대해 알려줘요,artist_info
음 일단 이 작품 재질 알려줘요,metadata_query
좀 이 작품 소개해줘요,artwork_overview
혹시 여기 언제만 알려줄래 알려줘,metadata_query
그 이건 관련 작품 더 보여줘 알려줘,related_works
일단 이 유사 작품 있어 궁금해 설명해줘,related_works
혹시 조금 이 유사 작품 있어 알려줄래,related_works
이 이 작품은 소재 알려줘요?,medium_query
그 이 작품은 언제 만들어졌어?,date_query
이 이거 재료 알려줘요 설명해줘,medium_query
혹시 이 작품은 비슷한 작품 추천해줘요,related_works
여기 좀 저 비슷한 작품 추천해줘 알려줘,related_works
여기 저 비슷한 작품 추천해줘요 알려줘,related_works
음 혹시 저 재질 알려줘 알려줘,metadata_query
저거 이건 스타일이 어떤 느낌이야 말해줘,style_context
일단 저 자세히 이 작품은 어떤 내용이야 가르쳐줘,artwork_overview
음 저거 조금 이 작품은 재료가 뭐야 알려줘 설명해줘,medium_query
좀 만든 사람 어떤 사람이야 말해줘,artist_info
그 이거 제목 알려줘?,metadata_query
일단 조금 이 작품 개요 좀 가르쳐줘 설명해줘,artwork_overview
이 작품 질감 알려줘,medium_query
그 일단 조금 이 작품 유사 작품 있어 말해줘 알려줘,related_works
음 저거 다시 말해줄래요 설명해줘,fallback
혹시 이 작품 개요 좀?,artwork_overview
이 이건 소재 알려줘요,medium_query
이 이거 예술가가 누군지 알려줄래,artist_info
일단 그 조금 더 구체적으로 가르쳐줘요 알려줘,fallback
이 좀 이 작품은 관련 작품 더 보여줘 궁금해,related_works
저기 이 재료 알려줘,medium_query
음 여기 이 작품은 제작 연도 알려줘 알려줘?,date_query
저거 다시 말해줄래요,fallback
여기 저 부서 뭐야 말해줘,metadata_query
그 이거 배경 설명해줘 알려줘,style_context
음 저거 조금 더 구체적으로 말해줘요 설명해줘,fallback
일단 더 설명해줘 설명해줘,fallback
혹시 이 이거 제작 연도 알려줘 궁금해?,date_query
음 저 저 어떤 내용이야 알려줘 말해줘,artwork_overview
혹시 그 다시 말해줄래요,fallback
여기 조금 소재만 알려줄래요,metadata_query
저 이 배경 설명해줘요,style_context
좀 이 작품은 언제 만들어졌어요?,date_query
그 그 작가 설명해줘요?,artist_info
혹시 저거 부서만 알려줄래,metadata_query
음 작가 설명해줘요 알려줘,artist_info
일단 자세히 이건 비슷한 작품 추천해줘요 설명해줘,related_works
일단 그 이건 어떤 재료 사용했어 알려줘 알려줘,medium_query
저거 더 설명해줘,fallback
이거 어떤 재료 사용했어 알려줄래,medium_query
여기 잘 이해 못했어,fallback
그 저 어떤 재료 사용했어 알려줄래,medium_query
혹시 살짝 작가 설명해줘요 말해줘,artist_info
그 여기 이 비슷한 작품 추천해줘요?,related_works
일단 일단 살짝 작가 배경 설명해줘요 설명해줘,artist_info
저기 좀 이 작품은 소재 말해줘요,medium_query
혹시 이 어떤 재료 사용했어 말해줘 설명해줘,medium_query
음 자세히 이거 소재 말해줘,medium_query
그 저 잘 이해 못했어 설명해줘,fallback
그 일단 좀 작가 배경 설명해줘?,artist_info
그 저 좀 이 작품 어떤 내용이야 알려줄래 알려줘,artwork_overview
저거 살짝 이 작품 사조 설명해줘요,style_context
혹시 저 질감 알려줘요,medium_query
일단 이거 관련 작품 더 보여줘 궁금해?,related_works
음 이거 스타일이 어떤 느낌이야,style_context
일단 저거 자세히 이 질감 알려줘?,medium_query
음 저기 이거 유사 작품 있어 알려줄래?,related_works
그 그 살짝 이 작품 전반적으로 말해줘 설명해줘,artwork_overview
그 조금 더 구체적으로 가르쳐줘요 설명해줘,fallback
일단 저거 이 소재 알려줘 말해줘,medium_query
이 좀 이 작품은 어떤 재료 사용했어 궁금해,medium_query
일단 이건 시기 알려줘 궁금해 설명해줘,date_query
일단 일단 자세히 이건 언제 만들어졌어요?,date_query
음 이건 제작 연도 뭐야 설명해줘,metadata_query
그 그 이거 양식적으로 어떤 특징 있어 말해줘 설명해줘,style_context
일단 그 이 작품 언제 만들어졌어요,date_query
그 저기 조금 이 제작 연도 말해줘 말해줘 말해줘,date_query
혹시 조금 이 비슷한 작품 추천해줘,related_works
그 이 좀 저 언제 만들어졌어 말해줘,date_query
이 재료 알려줘요?,medium_query
일단 혹시 조금 저 관련 작품 더 보여줘 가르쳐줘?,related_works
그 저기 저 소재 알려줘요 설명해줘,medium_query
혹시 이건 유사 작품 있어 가르쳐줘,related_works
그 저 살짝 이건 번호 뭐야 알려줄래 알려줘,metadata_query
일단 이거 언제 만들어졌어요,date_query
음 이 개요 좀 가르쳐줘,artwork_overview
조금 제작 연도만 알려줄래,metadata_query
그 그 작가 배경 설명해줘요 알려줘,artist_info
살짝 저 화풍 설명해줘,style_context
일단 자세히 이거 재료가 뭐야 알려줘?,medium_query
여기 저 무슨 시대에 만들어졌어 가르쳐줘 알려줘,date_query
일단 이건 제작 연도 알려줘 알려줘?,date_query
저기 더 설명해줘요,fallback
그 이건 미술적 특징 설명해줘 알려줘,style_context
저거 이 미술적 특징 설명해줘요,style_context
저기 이거 유사 작품 있어 알려줄래,related_works
자세히 이 작품 미술적 특징 설명해줘,style_context
저 이거 관련 작품 더 보여줘?,related_works
혹시 이 작품 컬렉션 알려줘,metadata_query
저거 이건 비슷한 작품 추천해줘요,related_works
그 조금 이건 전반적으로 알려줘 설명해줘,artwork_overview
혹시 이건 재료가 뭐야,medium_query
그 저거 번호만 알려줄래요 설명해줘,metadata_query
혹시 여기 자세히 이 재료 알려줘 알려줘,medium_query
그 이거 년도 알려줘 가르쳐줘 말해줘,date_query
일단 그 자세히 저 언제 만들어졌어 알려줘,date_query
일단 이 비슷한 작품 추천해줘요?,related_works
자세히 저 제목 뭐야 가르쳐줘,metadata_query
그 저 자세히 이 관련 작품 더 보여줘 가르쳐줘?,related_works
그 이 다시 말해줄래?,fallback
일단 조금 제작 연도만 알려줄래 알려줘,metadata_query
살짝 작가에 대해 알려줘요,artist_info
혹시 이건 비슷한 작품 추천해줘요,related_works
그 좀 만든 사람 어떤 사람이야 말해줘,artist_info
음 저거 조금 더 구체적으로 말해줘 말해줘,fallback
일단 만든 사람에 대해 알려줘요,artist_info
이거 관련 작품 더 보여줘?,related_works
음 혹시 이 작품은 어떤 내용이야 가르쳐줘 알려줘,artwork_overview
그 이 작품 몇 년도 작품이야 알려줘,date_query
그 여기 다시 말해줄래 알려줘,fallback
저 이 작품 비슷한 작품 추천해줘요,related_works
음 이 자세히 저 대략적으로 어떤 작품인지 설명해줘,artwork_overview
일단 저 유사 작품 있어 알려줘?,related_works
음 저 이 언제 만들어졌어요 말해줘,date_query
혹시 그 살짝 이건 사조 설명해줘요 말해줘,style_context
잘 이해 못했어요,fallback
일단 이 이 작품은 비슷한 작품 추천해줘,related_works
그 이 작품은 전체적으로 어떤 작품인지 궁금해,artwork_overview
그 저 이 작품은 년도 말해줘,date_query
이거 양식적으로 어떤 특징 있어 알려줄래,style_context
저 이건 배경 설명해줘,style_context
일단 다시 말해줄래요 설명해줘,fallback
자세히 이거 사조 설명해줘,style_context
음 일단 살짝 만든 사람에 대해 말해줘?,artist_info
음 작가 설명해줘요,artist_info
일단 혹시 이 작품은 질감 말해줘요 말해줘,medium_query
이건 제작 연도 뭐야?,metadata_query
이 이 스타일이 어떤 느낌이야 가르쳐줘 알려줘,style_context
그 이 작품 시기 알려줘 알려줘 알려줘,date_query
살짝 이 작품은 유사 작품 있어 말해줘,related_works
음 저기 이 작품 관련 작품 더 보여줘?,related_works
그 일단 저 화풍 설명해줘 알려줘,style_context
음 일단 이건 재료가 뭐야 가르쳐줘 알려줘,medium_query
여기 살짝 저 전체적으로 어떤 작품인지?,artwork_overview
그 그 이 관련 작품 더 보여줘 궁금해,related_works
일단 이 이거 제작 연도 말해줘 궁금해 말해줘,date_query
혹시 이거 양식적으로 어떤 특징 있어 말해줘 알려줘,style_context
혹시 저기 조금 이거 무슨 시대에 만들어졌어 알려줄래,date_query
조금 작가 설명해줘요,artist_info
혹시 이거 비슷한 작품 추천해줘,related_works
혹시 이 살짝 예술가에 대해 말해줘?,artist_info
음 일단 저 전체적으로 어떤 작품인지 알려줄래?,artwork_overview
그 이거 기법적 특징 설명해줘,style_context
혹시 이 더 설명해줘,fallback
일단 저기 이 작품은 번호 말해줘요?,metadata_query
여기 자세히 그린 사람 어떤 사람이야 알려줄래,artist_info
조금 저 재료 뭐야?,metadata_query
저기 이 미술적 특징 설명해줘,style_context
그 저거 이 작품 전체적으로 어떤 작품인지 말해줘,artwork_overview
그 저 이 배경 설명해줘요 알려줘,style_context
혹시 이 작품은 언제 만들어졌어요,date_query
그 저거 이 무슨 시대에 만들어졌어 알려줄래 설명해줘,date_query
음 작가 배경 설명해줘?,artist_info
자세히 저 어떤 내용이야 알려줄래 설명해줘,artwork_overview
그 조금 이 유사 작품 있어 알려줘 설명해줘,related_works
일단 여기 이 작품은 사조 설명해줘요 말해줘,style_context
혹시 저기 이 재료 알려줘 알려줘,medium_query
일단 이 살짝 이 작품에 대해 말해줘 말해줘 알려줘,artwork_overview
좀 이 작품 관련 작품 더 보여줘 궁금해,related_works
혹시 좀 작가 설명해줘요,artist_info
음 일단 작가 설명해줘요 설명해줘,artist_info
혹시 이거 미술적 특징 설명해줘요,style_context
혹시 그 작가 배경 설명해줘요?,artist_info
저 조금 이거 어떤 재료 사용했어 말해줘 알려줘,medium_query
그 혹시 자세히 이 작품은 소개해줘요?,artwork_overview
저거 이 미술적 특징 설명해줘요 설명해줘,style_context
그 저기 좀 이 작품 미술적 특징 설명해줘 말해줘,style_context
혹시 여기 좀 이건 재료 말해줘,medium_query
이건 소재 말해줘요 말해줘,medium_query
그 이 이 작품 재료 알려줘 알려줘,medium_query
저 이 작품은 양식적으로 어떤 특징 있어 말해줘,style_context
그 살짝 이건 사조 설명해줘요,style_context
저기 이 소재 알려줘,medium_query
혹시 저기 이건 비슷한 작품 추천해줘요?,related_works
그 이 작품 제작 연도 뭐야 궁금해 말해줘,metadata_query
그 저기 언제만 알려줄래 말해줘,metadata_query
일단 이건 기법적 특징 설명해줘,style_context
작가 배경 설명해줘,artist_info
저거 다시 말해줄래,fallback
혹시 그 작가 설명해줘 설명해줘,artist_info
일단 살짝 재료만 알려줄래요,metadata_query
그 저 소재 알려줘요,medium_query
그 이거 어떤 재료 사용했어 가르쳐줘,medium_query
혹시 다시 말해줄래요,fallback
혹시 여기 살짝 작가 설명해줘 말해줘,artist_info
음 여기 조금 이 작품은 유사 작품 있어 궁금해 말해줘,related_works
그 좀 이 작품에 대해 알려줘 궁금해,artwork_overview
그 조금 제목만 알려줄래요 말해줘,metadata_query
혹시 이건 비슷한 작품 추천해줘,related_works
여기 살짝 이건 재료 알려줘요,medium_query
혹시 혹시 자세히 이 작품은 소개해줘요 말해줘,artwork_overview
이 작품 관련 작품 더 보여줘 말해줘,related_works
저기 조금 더 구체적으로 말해줘요,fallback
그 만든 사람에 대해 알려줘 말해줘,artist_info
